city,district,start_date,end_date,facilities,size,price,name,online_for,url,price_per_qm
Essen,"Altendorf,Altenessen,Bergeborbeck,Bergerhausen,Borbeck,Bredeney,Burgaltendorf,Byfang,Dellwig,Fischlaken,Freisenbruch,Frillendorf,Frintrop,Frohnhausen,Fulerum,Haarzopf,Heidhausen,Heisingen,Holsterhausen,Horst,Huttrop,Innenstadt,Karnap,Katernberg,Kettwig,Kray,Kupferdreh,Leithe,Margarethenhöhe,Nord,Ost,Rellinghausen,Rüttenscheid,Schönebeck,Schonnebeck,Schuir,Stadtwald,Steele,Stoppenberg,Süd,Überruhr,Werden",n.a,n.a,n.a.,n.a,350 €,Moath Razzaq,17 hours,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8402212.html,n.a
Essen,"Altendorf,Altenessen,Bergeborbeck,Bergerhausen,Borbeck,Bredeney,Burgaltendorf,Byfang,Dellwig,Fischlaken,Freisenbruch,Frillendorf,Frintrop,Frohnhausen,Fulerum,Haarzopf,Heidhausen,Heisingen,Holsterhausen,Horst,Huttrop,Innenstadt,Karnap,Katernberg,Kettwig,Kray,Kupferdreh,Leithe,Margarethenhöhe,Nord,Ost,Rellinghausen,Rüttenscheid,Schönebeck,Schonnebeck,Schuir,Stadtwald,Steele,Stoppenberg,Süd,Überruhr,Werden",n.a,n.a,n.a.,n.a,360 €,Matthias,17.11.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.7396290.html,n.a
Essen,"Bergerhausen, Huttrop, Rüttenscheid, Süd, in der Nähe der KEM klinik bis 5 Km UMKREİS",n.a,n.a,Furnished,n.a,400 €,Roleda Aydin,18.11.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8235768.html,n.a
Essen,"Frohnhausen, Holsterhausen",n.a,n.a,"Furnished, Unfurnished",15 m²,400 €,Dan,22.11.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.7987162.html,26.666666666666668
Essen,"Altendorf, Altenessen, Bergeborbeck, Bergerhausen, Borbeck, Bredeney, Burgaltendorf, Byfang, Dellwig, Fischlaken, Freisenbruch, Frillendorf, Frintrop, Frohnhausen, Fulerum, Haarzopf, Heidhausen, Heisingen, Holsterhausen, Horst, Huttrop, Innenstadt, Karnap, Katernberg, Kettwig, Kray, Kupferdreh, Leithe, Margarethenhöhe, Nord, Ost, Rellinghausen, Rüttenscheid, Schönebeck, Schonnebeck, Schuir, Stadtwald, Steele, Stoppenberg, Süd, Überruhr, Werden",n.a,n.a,Unfurnished,10 m²,350 €,Paul Hanf,19.11.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8385235.html,35.0
Essen,"Altendorf,Altenessen,Bergeborbeck,Bergerhausen,Borbeck,Bredeney,Burgaltendorf,Byfang,Dellwig,Fischlaken,Freisenbruch,Frillendorf,Frintrop,Frohnhausen,Fulerum,Haarzopf,Heidhausen,Heisingen,Holsterhausen,Horst,Huttrop,Innenstadt,Karnap,Katernberg,Kettwig,Kray,Kupferdreh,Leithe,Margarethenhöhe,Nord,Ost,Rellinghausen,Rüttenscheid,Schönebeck,Schonnebeck,Schuir,Stadtwald,Steele,Stoppenberg,Süd,Überruhr,Werden",n.a,n.a,"Unfurnished, With a kitchen",12 m²,400 €,Marvin,23.11.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8391157.html,33.333333333333336
Essen,"Altendorf,Altenessen,Bergeborbeck,Bergerhausen,Borbeck,Bredeney,Burgaltendorf,Byfang,Dellwig,Fischlaken,Freisenbruch,Frillendorf,Frintrop,Frohnhausen,Fulerum,Haarzopf,Heidhausen,Heisingen,Holsterhausen,Horst,Huttrop,Innenstadt,Karnap,Katernberg,Kettwig,Kray,Kupferdreh,Leithe,Margarethenhöhe,Nord,Ost,Rellinghausen,Rüttenscheid,Schönebeck,Schonnebeck,Schuir,Stadtwald,Steele,Stoppenberg,Süd,Überruhr,Werden",n.a,n.a,n.a.,n.a,300 €,Qusay A.,2 days,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.7773302.html,n.a
Essen,"Altendorf,Altenessen,Bergeborbeck,Bergerhausen,Borbeck,Bredeney,Burgaltendorf,Byfang,Dellwig,Fischlaken,Freisenbruch,Frillendorf,Frintrop,Frohnhausen,Fulerum,Haarzopf,Heidhausen,Heisingen,Holsterhausen,Horst,Huttrop,Innenstadt,Karnap,Katernberg,Kettwig,Kray,Kupferdreh,Leithe,Margarethenhöhe,Nord,Ost,Rellinghausen,Rüttenscheid,Schönebeck,Schonnebeck,Schuir,Stadtwald,Steele,Stoppenberg,Süd,Überruhr,Werden",n.a,n.a,"Furnished, Unfurnished",1 m²,300 €,Orkan Akin,2 days,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8398556.html,300.0
Essen,"Holsterhausen, Rüttenscheid",n.a,n.a,n.a.,n.a,440 €,Cora N.,25.11.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8357107.html,n.a
Essen,"Altendorf,Altenessen,Bergeborbeck,Bergerhausen,Borbeck,Bredeney,Burgaltendorf,Byfang,Dellwig,Fischlaken,Freisenbruch,Frillendorf,Frintrop,Frohnhausen,Fulerum,Haarzopf,Heidhausen,Heisingen,Holsterhausen,Horst,Huttrop,Innenstadt,Karnap,Katernberg,Kettwig,Kray,Kupferdreh,Leithe,Margarethenhöhe,Nord,Ost,Rellinghausen,Rüttenscheid,Schönebeck,Schonnebeck,Schuir,Stadtwald,Steele,Stoppenberg,Süd,Überruhr,Werden",n.a,n.a,n.a.,18 m²,500 €,Yousef Bazanco,08.11.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8367638.html,27.77777777777778
Essen,"Altendorf,Altenessen,Bergeborbeck,Bergerhausen,Borbeck,Bredeney,Burgaltendorf,Byfang,Dellwig,Fischlaken,Freisenbruch,Frillendorf,Frintrop,Frohnhausen,Fulerum,Haarzopf,Heidhausen,Heisingen,Holsterhausen,Horst,Huttrop,Innenstadt,Karnap,Katernberg,Kettwig,Kray,Kupferdreh,Leithe,Margarethenhöhe,Nord,Ost,Rellinghausen,Rüttenscheid,Schönebeck,Schonnebeck,Schuir,Stadtwald,Steele,Stoppenberg,Süd,Überruhr,Werden",n.a,n.a,Unfurnished,15 m²,400 €,Florian,08.11.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8347118.html,26.666666666666668
Essen,"Altendorf,Altenessen,Bergeborbeck,Bergerhausen,Borbeck,Bredeney,Burgaltendorf,Byfang,Dellwig,Fischlaken,Freisenbruch,Frillendorf,Frintrop,Frohnhausen,Fulerum,Haarzopf,Heidhausen,Heisingen,Holsterhausen,Horst,Huttrop,Innenstadt,Karnap,Katernberg,Kettwig,Kray,Kupferdreh,Leithe,Margarethenhöhe,Nord,Ost,Rellinghausen,Rüttenscheid,Schönebeck,Schonnebeck,Schuir,Stadtwald,Steele,Stoppenberg,Süd,Überruhr,Werden",n.a,n.a,Furnished,10 m²,260 €,Herr Sharif,10.11.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8161846.html,26.0
Essen,"Frohnhausen, Holsterhausen, Innenstadt, Nord, Rüttenscheid, Steele, Holsterhausen",n.a,n.a,With a kitchen,12 m²,400 €,Johannes S.,16.11.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8378981.html,33.333333333333336
Essen,"Werden, Kettwig, Holsterhausen , Rüttenscheid, Frohnhausen, etc.",n.a,n.a,"Furnished, With a kitchen",17 m²,500 €,Olaf,30.10.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.5274645.html,29.41176470588235
Essen,"Altenessen, Frohnhausen, Kray",n.a,n.a,n.a.,12 m²,400 €,Jaakko,11.11.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8371723.html,33.333333333333336
Essen,"Altendorf,Altenessen,Bergeborbeck,Bergerhausen,Borbeck,Bredeney,Burgaltendorf,Byfang,Dellwig,Fischlaken,Freisenbruch,Frillendorf,Frintrop,Frohnhausen,Fulerum,Haarzopf,Heidhausen,Heisingen,Holsterhausen,Horst,Huttrop,Innenstadt,Karnap,Katernberg,Kettwig,Kray,Kupferdreh,Leithe,Margarethenhöhe,Nord,Ost,Rellinghausen,Rüttenscheid,Schönebeck,Schonnebeck,Schuir,Stadtwald,Steele,Stoppenberg,Süd,Überruhr,Werden",n.a,n.a,n.a.,n.a,350 €,Emmanuel M.,16.11.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8379084.html,n.a
Essen,"Altendorf,Altenessen,Bergeborbeck,Bergerhausen,Borbeck,Bredeney,Burgaltendorf,Byfang,Dellwig,Fischlaken,Freisenbruch,Frillendorf,Frintrop,Frohnhausen,Fulerum,Haarzopf,Heidhausen,Heisingen,Holsterhausen,Horst,Huttrop,Innenstadt,Karnap,Katernberg,Kettwig,Kray,Kupferdreh,Leithe,Margarethenhöhe,Nord,Ost,Rellinghausen,Rüttenscheid,Schönebeck,Schonnebeck,Schuir,Stadtwald,Steele,Stoppenberg,Süd,Überruhr,Werden",n.a,n.a,n.a.,n.a,320 €,Andreas Blauth,16.11.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8379317.html,n.a
Essen,Essen,n.a,n.a,n.a.,n.a,230 €,Mehedi Islam,2 days,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8399420.html,n.a
Essen,"Bredeney, Frohnhausen, Holsterhausen, Innenstadt, Margarethenhöhe, Rellinghausen, Rüttenscheid, Süd",n.a,n.a,n.a.,n.a,360 €,Evelyn B.,1 day,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8355518.html,n.a
Essen,"Frintrop, Frohnhausen, Holsterhausen",n.a,n.a,Furnished,n.a,300 €,Lisa G.,05.01.2019,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.7075835.html,n.a
Essen,"Altendorf,Altenessen,Bergeborbeck,Bergerhausen,Borbeck,Bredeney,Burgaltendorf,Byfang,Dellwig,Fischlaken,Freisenbruch,Frillendorf,Frintrop,Frohnhausen,Fulerum,Haarzopf,Heidhausen,Heisingen,Holsterhausen,Horst,Huttrop,Innenstadt,Karnap,Katernberg,Kettwig,Kray,Kupferdreh,Leithe,Margarethenhöhe,Nord,Ost,Rellinghausen,Rüttenscheid,Schönebeck,Schonnebeck,Schuir,Stadtwald,Steele,Stoppenberg,Süd,Überruhr,Werden",n.a,n.a,n.a.,n.a,220 €,Razu Faisal,17 hours,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8402134.html,n.a
Essen,"Altendorf,Altenessen,Bergeborbeck,Bergerhausen,Borbeck,Bredeney,Burgaltendorf,Byfang,Dellwig,Fischlaken,Freisenbruch,Frillendorf,Frintrop,Frohnhausen,Fulerum,Haarzopf,Heidhausen,Heisingen,Holsterhausen,Horst,Huttrop,Innenstadt,Karnap,Katernberg,Kettwig,Kray,Kupferdreh,Leithe,Margarethenhöhe,Nord,Ost,Rellinghausen,Rüttenscheid,Schönebeck,Schonnebeck,Schuir,Stadtwald,Steele,Stoppenberg,Süd,Überruhr,Werden",n.a,n.a,Unfurnished,15 m²,600 €,Ulrike,17.10.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.7946575.html,40.0
Essen,"Altendorf,Altenessen,Bergeborbeck,Bergerhausen,Borbeck,Bredeney,Burgaltendorf,Byfang,Dellwig,Fischlaken,Freisenbruch,Frillendorf,Frintrop,Frohnhausen,Fulerum,Haarzopf,Heidhausen,Heisingen,Holsterhausen,Horst,Huttrop,Innenstadt,Karnap,Katernberg,Kettwig,Kray,Kupferdreh,Leithe,Margarethenhöhe,Nord,Ost,Rellinghausen,Rüttenscheid,Schönebeck,Schonnebeck,Schuir,Stadtwald,Steele,Stoppenberg,Süd,Überruhr,Werden",n.a,n.a,Furnished,n.a,n.a,Dominik,28.02.2019,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.7178831.html,n.a
Essen,"Altendorf, Altenessen, Bergeborbeck, Bergerhausen, Borbeck, Bredeney, Burgaltendorf, Byfang, Dellwig, Fischlaken, Freisenbruch, Frillendorf, Frintrop, Frohnhausen, Fulerum, Haarzopf, Heidhausen, Heisingen, Holsterhausen, Horst, Huttrop, Innenstadt, Karnap, Katernberg, Kettwig, Kray, Kupferdreh, Leithe, Margarethenhöhe, Nord, Ost, Rellinghausen, Rüttenscheid, Schönebeck, Schonnebeck, Schuir, Stadtwald, Steele, Stoppenberg, Süd, Überruhr, Werden",n.a,n.a,Furnished,n.a,325 €,Marco Marcialis,15.07.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8120150.html,n.a
Essen,"Altendorf,Altenessen,Bergeborbeck,Bergerhausen,Borbeck,Bredeney,Burgaltendorf,Byfang,Dellwig,Fischlaken,Freisenbruch,Frillendorf,Frintrop,Frohnhausen,Fulerum,Haarzopf,Heidhausen,Heisingen,Holsterhausen,Horst,Huttrop,Innenstadt,Karnap,Katernberg,Kettwig,Kray,Kupferdreh,Leithe,Margarethenhöhe,Nord,Ost,Rellinghausen,Rüttenscheid,Schönebeck,Schonnebeck,Schuir,Stadtwald,Steele,Stoppenberg,Süd,Überruhr,Werden",n.a,n.a,With a kitchen,18 m²,550 €,Riza-Leon,09.08.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8170525.html,30.555555555555557
Essen,"Altendorf,Altenessen,Bergeborbeck,Bergerhausen,Borbeck,Bredeney,Burgaltendorf,Byfang,Dellwig,Fischlaken,Freisenbruch,Frillendorf,Frintrop,Frohnhausen,Fulerum,Haarzopf,Heidhausen,Heisingen,Holsterhausen,Horst,Huttrop,Innenstadt,Karnap,Katernberg,Kettwig,Kray,Kupferdreh,Leithe,Margarethenhöhe,Nord,Ost,Rellinghausen,Rüttenscheid,Schönebeck,Schonnebeck,Schuir,Stadtwald,Steele,Stoppenberg,Süd,Überruhr,Werden",n.a,n.a,n.a.,n.a,250 €,Lena Grimm,18.08.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8192022.html,n.a
Essen,"Altendorf,Altenessen,Bergeborbeck,Bergerhausen,Borbeck,Bredeney,Burgaltendorf,Byfang,Dellwig,Fischlaken,Freisenbruch,Frillendorf,Frintrop,Frohnhausen,Fulerum,Haarzopf,Heidhausen,Heisingen,Holsterhausen,Horst,Huttrop,Innenstadt,Karnap,Katernberg,Kettwig,Kray,Kupferdreh,Leithe,Margarethenhöhe,Nord,Ost,Rellinghausen,Rüttenscheid,Schönebeck,Schonnebeck,Schuir,Stadtwald,Steele,Stoppenberg,Süd,Überruhr,Werden",n.a,n.a,Unfurnished,15 m²,400 €,Andrea W.,26.08.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8185050.html,26.666666666666668
Essen,"Altendorf,Altenessen,Bergeborbeck,Bergerhausen,Borbeck,Bredeney,Burgaltendorf,Byfang,Dellwig,Fischlaken,Freisenbruch,Frillendorf,Frintrop,Frohnhausen,Fulerum,Haarzopf,Heidhausen,Heisingen,Holsterhausen,Horst,Huttrop,Innenstadt,Karnap,Katernberg,Kettwig,Kray,Kupferdreh,Leithe,Margarethenhöhe,Nord,Ost,Rellinghausen,Rüttenscheid,Schönebeck,Schonnebeck,Schuir,Stadtwald,Steele,Stoppenberg,Süd,Überruhr,Werden",n.a,n.a,Furnished,8 m²,150 €,Nora,30.09.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8274362.html,18.75
Essen,Südviertel,n.a,n.a,"Furnished, With a kitchen",25 m²,350 €,Fahed Abdullah,27.08.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8131311.html,14.0
Essen,"Bredeney, Holsterhausen, Rüttenscheid, Süd",n.a,n.a,"Furnished, Unfurnished, With a kitchen",12 m²,700 €,Lisa,14.10.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8323277.html,58.333333333333336
Essen,"Altendorf,Altenessen,Bergeborbeck,Bergerhausen,Borbeck,Bredeney,Burgaltendorf,Byfang,Dellwig,Fischlaken,Freisenbruch,Frillendorf,Frintrop,Frohnhausen,Fulerum,Haarzopf,Heidhausen,Heisingen,Holsterhausen,Horst,Huttrop,Innenstadt,Karnap,Katernberg,Kettwig,Kray,Kupferdreh,Leithe,Margarethenhöhe,Nord,Ost,Rellinghausen,Rüttenscheid,Schönebeck,Schonnebeck,Schuir,Stadtwald,Steele,Stoppenberg,Süd,Überruhr,Werden",n.a,n.a,n.a.,15 m²,250 €,Lorenzo Patrick,17.10.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8329215.html,16.666666666666668
Wuppertal,"Barmen,Beyenburg,Cronenberg,Elberfeld,Langerfeld,Remscheid,Ronsdorf,Schwelm,Vohwinkel",n.a,n.a,n.a.,n.a,500 €,Katja Balzer,1 hour,https://www.wg-gesucht.de/en/wg-zimmer-in-Wuppertal-gesucht.8403053.html,n.a
Wuppertal,"Barmen,Beyenburg,Cronenberg,Elberfeld,Langerfeld,Remscheid,Ronsdorf,Schwelm,Vohwinkel",n.a,n.a,n.a.,n.a,250 €,Lena Grimm,17.08.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Wuppertal-gesucht.8187920.html,n.a
Wuppertal,"Elberfeld, So zentral wie möglich",n.a,n.a,"Unfurnished, With a kitchen",13 m²,450 €,Joanna K.,29.10.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Wuppertal-gesucht.8349723.html,34.61538461538461
Wuppertal,"Barmen,Beyenburg,Cronenberg,Elberfeld,Langerfeld,Remscheid,Ronsdorf,Schwelm,Vohwinkel",n.a,n.a,With a kitchen,n.a,300 €,Zoe D.,02.11.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Wuppertal-gesucht.8357202.html,n.a
Wuppertal,"Barmen,Beyenburg,Cronenberg,Elberfeld,Langerfeld,Remscheid,Ronsdorf,Schwelm,Vohwinkel",n.a,n.a,"Furnished, With a kitchen",12 m²,450 €,Nicola,04.11.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Wuppertal-gesucht.8338691.html,37.5
Wuppertal,"Barmen,Beyenburg,Cronenberg,Elberfeld,Langerfeld,Remscheid,Ronsdorf,Schwelm,Vohwinkel",n.a,n.a,Furnished,n.a,350 €,Jana Borho,24.11.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Wuppertal-gesucht.8391592.html,n.a
Wuppertal,"Cronenberg, Elberfeld",n.a,n.a,"Furnished, Unfurnished, With a kitchen",150 m²,300 €,Suraj N.,24.06.2018,https://www.wg-gesucht.de/en/wg-zimmer-in-Wuppertal-gesucht.6758036.html,2.0
Wuppertal,"Barmen, Beyenburg, Cronenberg, Elberfeld, Langerfeld, Remscheid, Ronsdorf, Schwelm, Vohwinkel",n.a,n.a,Furnished,n.a,325 €,Marco Marcialis,15.07.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Wuppertal-gesucht.8120144.html,n.a
Wuppertal,Keine Ahnung,n.a,n.a,"Furnished, Unfurnished, With a kitchen",10 m²,10 m²,Olaf,30.12.2018,https://www.wg-gesucht.de/en/wg-zimmer-in-Wuppertal-gesucht.7066661.html,n.a
Wuppertal,"Barmen,Beyenburg,Cronenberg,Elberfeld,Langerfeld,Remscheid,Ronsdorf,Schwelm,Vohwinkel",n.a,n.a,n.a.,15 m²,400 €,Nils,12.08.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Wuppertal-gesucht.8178402.html,26.666666666666668
Wuppertal,"Barmen,Beyenburg,Cronenberg,Elberfeld,Langerfeld,Remscheid,Ronsdorf,Schwelm,Vohwinkel",n.a,n.a,Furnished,n.a,350 €,Navid G.,2 days,https://www.wg-gesucht.de/en/wg-zimmer-in-Wuppertal-gesucht.8393386.html,n.a
